M,N,K,cuBLAS,Triton,Triton Advanced
256.000000,256.000000,256.000000,5.461333,4.681143,4.681143
384.000000,384.000000,384.000000,13.824000,13.770210,13.824000
512.000000,512.000000,512.000000,26.214401,26.214401,26.214401
640.000000,640.000000,640.000000,24.380953,30.117647,30.117647
768.000000,768.000000,768.000000,46.565055,46.565055,46.565055
896.000000,896.000000,896.000000,40.140799,46.830935,48.083096
1024.000000,1024.000000,1024.000000,52.428801,49.932191,49.932191
1152.000000,1152.000000,1152.000000,64.912694,64.474689,64.912694
1280.000000,1280.000000,1280.000000,68.480668,56.888887,57.690139
1408.000000,1408.000000,1408.000000,46.596375,65.684049,65.684049
1536.000000,1536.000000,1536.000000,63.710946,61.546851,61.546851
1664.000000,1664.000000,1664.000000,50.273253,57.317910,55.548841
1792.000000,1792.000000,1792.000000,62.790080,64.225282,64.225282
1920.000000,1920.000000,1920.000000,63.123289,63.412844,61.440001
2048.000000,2048.000000,2048.000000,60.567564,59.283449,59.918627
2176.000000,2176.000000,2176.000000,61.352586,57.414118,55.899021
2304.000000,2304.000000,2304.000000,64.736783,66.912805,65.267411
2432.000000,2432.000000,2432.000000,50.620658,58.652325,57.452892
2560.000000,2560.000000,2560.000000,61.593988,59.686704,60.235293
2688.000000,2688.000000,2688.000000,54.658583,55.457682,55.457682
2816.000000,2816.000000,2816.000000,59.339058,58.779256,61.169996
2944.000000,2944.000000,2944.000000,56.631854,55.250590,54.704755
3072.000000,3072.000000,3072.000000,54.236688,54.445292,52.543590
3200.000000,3200.000000,3200.000000,54.375531,55.220018,54.982817
3328.000000,3328.000000,3328.000000,51.606663,55.335354,52.818265
3456.000000,3456.000000,3456.000000,57.057017,59.499314,55.870801
3584.000000,3584.000000,3584.000000,54.593439,51.527447,53.047429
3712.000000,3712.000000,3712.000000,48.849558,54.321556,52.165714
3840.000000,3840.000000,3840.000000,53.947317,57.123968,56.539878
3968.000000,3968.000000,3968.000000,49.562933,55.465426,54.232863
4096.000000,4096.000000,4096.000000,51.150050,54.593339,54.604444
