M,N,K,Triton,Triton Advanced
256.000000,256.000000,256.000000,4.096000,4.681143
384.000000,384.000000,384.000000,12.288000,12.288000
512.000000,512.000000,512.000000,23.831273,26.214401
640.000000,640.000000,640.000000,28.444443,28.444443
768.000000,768.000000,768.000000,42.130286,42.130286
896.000000,896.000000,896.000000,43.904000,41.321411
1024.000000,1024.000000,1024.000000,45.590260,45.590260
1152.000000,1152.000000,1152.000000,55.296000,59.719682
1280.000000,1280.000000,1280.000000,58.514284,59.362318
1408.000000,1408.000000,1408.000000,55.630369,55.068446
1536.000000,1536.000000,1536.000000,54.445292,50.920059
1664.000000,1664.000000,1664.000000,52.319256,57.317910
1792.000000,1792.000000,1792.000000,52.767247,54.826457
1920.000000,1920.000000,1920.000000,57.360995,53.477759
2048.000000,2048.000000,2048.000000,55.007267,55.370348
2176.000000,2176.000000,2176.000000,54.095827,51.335838
2304.000000,2304.000000,2304.000000,61.082097,56.606330
2432.000000,2432.000000,2432.000000,56.871387,55.195413
2560.000000,2560.000000,2560.000000,54.704506,55.727892
2688.000000,2688.000000,2688.000000,57.824781,51.963088
2816.000000,2816.000000,2816.000000,58.621246,59.827444
2944.000000,2944.000000,2944.000000,57.085947,64.221693
3072.000000,3072.000000,3072.000000,59.291209,52.820059
3200.000000,3200.000000,3200.000000,57.813909,55.172414
3328.000000,3328.000000,3328.000000,55.377920,56.111689
3456.000000,3456.000000,3456.000000,58.591256,56.576538
3584.000000,3584.000000,3584.000000,59.943594,57.749128
3712.000000,3712.000000,3712.000000,56.631146,58.045049
3840.000000,3840.000000,3840.000000,59.076921,59.426114
3968.000000,3968.000000,3968.000000,56.102958,56.180449
4096.000000,4096.000000,4096.000000,57.382523,59.865176
