size,Triton,Torch
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,96.000000,96.000000
65536.000000,153.600004,153.600004
131072.000000,255.999991,255.999991
262144.000000,384.000001,384.000001
524288.000000,558.545450,558.545450
1048576.000000,682.666643,722.823517
2097152.000000,768.000002,744.727267
4194304.000000,780.190482,819.200021
8388608.000000,840.205105,840.205105
16777216.000000,858.550228,858.550228
33554432.000000,866.114550,826.084057
67108864.000000,826.952661,826.084057
134217728.000000,750.412251,376.463366
