N,Triton,Torch
256.000000,375.134503,647.582884
384.000000,574.229349,726.408204
512.000000,656.869720,707.086983
640.000000,709.334587,734.894316
768.000000,738.084969,758.352832
896.000000,754.719195,779.394250
1024.000000,768.843046,789.740185
1152.000000,752.950594,382.691499
1280.000000,771.082089,423.899766
1408.000000,783.651509,458.506846
1536.000000,788.845720,493.826795
1664.000000,794.525548,510.573337
1792.000000,794.834042,541.889496
1920.000000,795.596994,568.207081
2048.000000,795.197391,594.453617
2176.000000,755.362275,610.282923
2304.000000,763.797856,637.394517
2432.000000,768.859847,668.656150
2560.000000,779.153579,686.701201
2688.000000,780.915215,699.039743
2816.000000,785.414108,712.245967
2944.000000,792.132186,737.263881
3072.000000,797.324199,748.672439
3200.000000,802.388442,760.632169
3328.000000,807.238525,775.749005
3456.000000,812.138369,781.245920
3584.000000,812.818651,792.272968
3712.000000,815.420100,806.545095
3840.000000,816.835969,814.076092
3968.000000,818.130506,817.316978
4096.000000,817.656121,828.913777
4224.000000,835.118822,729.467715
4352.000000,834.536507,754.779998
4480.000000,835.496008,738.551227
4608.000000,837.107702,746.810841
4736.000000,837.925212,748.514670
4864.000000,837.948317,776.917486
4992.000000,836.258480,782.110070
5120.000000,837.309848,799.450863
5248.000000,838.146721,804.034810
5376.000000,838.539461,817.449166
5504.000000,839.204939,824.605817
5632.000000,838.650289,831.037297
5760.000000,839.272191,833.375592
5888.000000,840.927385,841.319547
6016.000000,841.043007,847.333502
6144.000000,839.978243,848.918308
6272.000000,841.557383,847.429726
6400.000000,842.400725,845.620993
6528.000000,842.512427,844.592656
6656.000000,842.394597,843.374896
6784.000000,842.893631,842.720123
6912.000000,841.661195,843.251686
7040.000000,842.888482,844.293466
7168.000000,843.102223,842.701425
7296.000000,843.483780,842.858544
7424.000000,843.007602,844.619222
7552.000000,841.768679,843.899738
7680.000000,843.710223,844.268403
7808.000000,843.989985,844.459871
7936.000000,842.674749,844.748850
8064.000000,843.967339,842.394519
8192.000000,841.312180,843.509959
8320.000000,822.282014,834.897491
8448.000000,822.314391,836.785987
8576.000000,821.167958,833.824040
8704.000000,824.981784,838.040344
8832.000000,822.791593,833.218432
8960.000000,823.229958,836.578612
9088.000000,823.153846,838.331301
9216.000000,823.076320,838.662203
9344.000000,823.270927,836.682954
9472.000000,824.215022,837.988184
9600.000000,823.419049,837.024694
9728.000000,824.413338,839.236110
9856.000000,822.642323,841.689025
9984.000000,823.755387,841.728421
10112.000000,822.550460,842.512491
10240.000000,823.322535,842.609023
10368.000000,822.020310,842.267229
10496.000000,823.414936,844.254473
10624.000000,821.374760,843.775833
10752.000000,823.522976,843.236449
10880.000000,822.146124,844.235940
11008.000000,823.463625,844.315856
11136.000000,822.124105,844.716328
11264.000000,820.977078,806.371367
11392.000000,779.302313,804.846107
11520.000000,821.437974,846.769579
11648.000000,822.578458,847.848636
11776.000000,822.188642,846.746008
11904.000000,821.710725,848.155006
12032.000000,822.103031,845.835279
12160.000000,822.221994,847.859905
12288.000000,821.325310,829.881924
12416.000000,821.599902,727.596100
12544.000000,821.083829,726.972367
12672.000000,819.662769,709.020421
