size,Triton,Torch
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,96.000000,96.000000
65536.000000,153.600004,153.600004
131072.000000,255.999991,255.999991
262144.000000,438.857137,394.795174
524288.000000,558.545450,558.545450
1048576.000000,685.045290,682.666643
2097152.000000,768.000002,768.000002
4194304.000000,819.200021,819.200021
8388608.000000,847.448255,847.448255
16777216.000000,858.550228,858.901828
33554432.000000,868.026517,868.026517
67108864.000000,870.910292,871.875832
134217728.000000,872.359405,873.813348
